Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
RV2 RV3 RV1 ,3,"31VDC","Resistors_SMD:R_1210","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=B300%2FMCEPCOS_SMD-VARISTOREN_EN.pdf","https://www.reichelt.de/smd-varistor-1206-25-v-epc-b72520t0250-p240011.html?&trstct=pol_6&nbc=1","EPC B72520T0250 SMD-Varistor, 1206, 25 VAC"
SW1 SW2 SW3 ,3,"SW_DIP_x02","Buttons_Switches_THT:SW_DIP_x2_W7.62mm_Slide_LowProfile","https://www.reichelt.de/dip-schalter-liegend-2-polig-nt-02-p36464.html?&trstct=pol_6&nbc=1","https://www.reichelt.de/dip-schalter-liegend-2-polig-nt-02-p36464.html?&trstct=pol_6&nbc=1","SW_DIP_x02"
U10 ,1,"ADM2483xRW","mylib:SOIC-16W_7.5x10.3mm_Pitch1.27mm_handsoldered","https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf","https://www.mouser.de/ProductDetail/Analog-Devices/ADM2483BRWZ?qs=BpaRKvA4VqH5Kim10agOlw%3D%3D","ADM2483xRW"
U12 U11 ,2,"2S7WA_2405_S3RP","mylib:SIP-7_2S7WA","F:\Daten\ProgrammData\KiCad-Projects\datasheet\2S7WA_3RP_DS_EN.pdf","https://www.reichelt.de/dc-dc-wandler-2-w-5-v-sil-7-2s7wa-2405s3rp-p242953.html?&trstct=pol_3&nbc=1","2S7WA_2405_S3RP"
U27 U28 U29 U30 U31 U32 U33 U34 U22 U23 U21 U24 U25 U20 U19 U26 ,16,"BSP-452","TO_SOT_Packages_SMD:SOT-223","","https://www.reichelt.de/analog-schalter-ic-1-kanal-pg-sot-223-bsp-452-smd-p41420.html?search=BSP-452","BSP-452"
U3 U4 U1 U2 U15 U16 U17 U18 ,8,"LTV-844","mylib:DIP-16_W7.62mm_cut","","https://www.reichelt.de/4-fach-optokoppler-ac-5kv-35v-50ma-20-300-dip-16-ltv-844-p96808.html?&trstct=pos_0&nbc=1","LTV-844"
U36 ,1,"MCP3204","mylib:DIL-14-SMD","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf","https://www.reichelt.de/12-bit-serieller-a-d-wandler-4-kanal-2-7v-spi-dip-14-mcp-3204-ci-p-p90076.html?search=MCP3204","MCP3204"
U37 U13 ,2,"LT1086 3.3","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","https://www.reichelt.de/ldo-spannungsregler-fix-3-3-v-1-5-a-to-220-3-lm-1086-ct-3-3-p187589.html?&trstct=pol_5&nbc=1","LM 1086 CT-3.3 TO220"
U38 ,1,"MCP4922","Housings_DIP:DIP-14_W7.62mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/devicedoc/21897a.pdf","https://www.reichelt.de/d-a-wandler-12-bit-2-kanal-spi-2-7--5-5-v-dip-14-mcp-4922-e-p-p90090.html?search=MCP4922","MCP4922-EP"
U39 U35 ,2,"ADuM1401xRW","mylib:SOIC-16W_7.5x10.3mm_Pitch1.27mm_handsoldered","https://www.analog.com/media/en/technical-documentation/data-sheets/ADUM1400_1401_1402.pdf","https://www.reichelt.de/digitaler-isolator-4-kanal-so-16-adum-1401-crwz-p185568.html?&trstct=pos_2&nbc=1","ADuM1401xRW"
U40 ,1,"ADM-803R","TO_SOT_Packages_SMD:SOT-23","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM803_809_810.pdf","https://www.mouser.de/ProductDetail/Analog-Devices/ADM809ZARTZ-REEL7?qs=sGAEpiMZZMsjJi7B1kCaqZhu1wa16fpwpWySOz9g7lI%3D","ADM809ZARTZ-REEL7"
U41 ,1,"LT 1078","Housings_DIP:DIP-8_W7.62mm","https://www.reichelt.de/operationsverstaerker-2-4-fach-dip-8-lt-1078-cn8-p10888.html?&trstct=pol_3&nbc=1","https://www.reichelt.de/operationsverstaerker-2-4-fach-dip-8-lt-1078-cn8-p10888.html?&trstct=pol_3&nbc=1","LT 1078 CN8"
U42 U43 ,2,"LM4040 AIM3-2.5","TO_SOT_Packages_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","https://www.reichelt.de/shunt-spannungsreferenz-fest-10-0-v-1-0-sot-23-3-lm-4040-dim3-10-p187746.html?&trstct=pos_1&nbc=1","LM4040-AIM3-2.5"
U44 ,1,"2S7WB_2415S3RP","mylib:SIP-7_2S7WA","F:\Daten\ProgrammData\KiCad-Projects\datasheet\2S7WA_3RP_DS_EN.pdf","https://www.reichelt.de/dc-dc-wandler-2-w-5-v-sil-7-2s7wa-2405s3rp-p242953.html?&trstct=pol_3&nbc=1","2S7WB_2415S3RP"
U45 ,1,"ADR03ARZ","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/ADR4520_4525_4530_4533_4540_4550.pdf","https://www.reichelt.de/spannungsreferenz-fest-2-5-v-3-ppm-c-so-8-adr-03-arz-p185546.html?search=ADR03ARZ","ADR03ARZ"
U46 ,1,"LCN78_05-1.0","mylib:SIP-3-LC78","https://cdn-reichelt.de/documents/datenblatt/D400/LME78_10_DS_EN.pdf","https://www.reichelt.de/dc-dc-wandler-5-w-5-v-1000-ma-to-220-lme78-05-1-0-p242853.html?&trstct=pol_7&nbc=1","LME78_05-1.0 DC/DC-Wandler, 5 W, 5 V, 1000 mA, TO-220"
U47 ,1,"ADM-809Z","TO_SOT_Packages_SMD:SOT-23","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM803_809_810.pdf","https://www.mouser.de/ProductDetail/Analog-Devices/ADM809ZARTZ-REEL7?qs=sGAEpiMZZMsjJi7B1kCaqZhu1wa16fpwpWySOz9g7lI%3D","ADM809ZARTZ-REEL7"
U48 ,1,"ADM-803L","TO_SOT_Packages_SMD:SOT-23","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM803_809_810.pdf","https://www.mouser.de/ProductDetail/Analog-Devices/ADM803LAKSZ-REEL7?qs=BpaRKvA4VqE1WwlA8UcQGg%3D%3D","ADM803LAKSZ-REEL7"
U49 ,1,"74AHC1G32","TO_SOT_Packages_SMD:SOT-23-5","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74ahc1g32","https://www.reichelt.de/de/de/or-gate-2-input-2--5-5-v-sot-23-5-sn-74ahc1g32dbvr-p219303.html?trstct=pos_5&nbc=1&&r=1","SN 74AHC1G32DBVR"
U5 U14 ,2,"MCP23S17","Housings_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","https://www.reichelt.de/bus-controller-push-pull-s-dil-28-mcp-23s17-e-sp-p90047.html?search=MCP23S17","MCP23S17_SP"
U50 ,1,"NE555DRG4","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","????",""
U7 ,1,"Teensy4.0","mylib:Teensy40wo34_0.9","","https://www.reichelt.de/teensy-4-0-usb-teensy-4-0-p269006.html?search=Teensy","Teensy4.0"
U8 U6 ,2,"ISO1050","mylib:SOP-8","http://www.ti.com/lit/ds/symlink/iso1050.pdf","https://www.reichelt.de/isolierter-can-transceiver-3-0-5-5v-sop-8-iso-1050-dub-p188663.html?&trstct=pos_0&nbc=1","ISO1050DUB"
U9 ,1,"25LC512","Housings_DIP:DIP-8_W7.62mm","","https://www.reichelt.de/eeprom-512-kb-64-k-x-8-spi-20-mhz-2-5--5-5-v-dip-8-25lc512-i-p-p96669.html?&trstct=pos_11&nbc=1","25LC512-I/P"
