Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
C76 C95 ,2,"10u 10V","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=A900%2FAVX_TPS_DS.pdf","https://www.reichelt.de/smd-tantal-kondensator-10-f-10v-tps-3216-10-10-p167046.html?&trstct=pol_0&nbc=1","10u 10V, TPS 3216 10/10"
C78 C79 ,2,"2,2pF","Capacitors_SMD:C_0805","~","https://www.reichelt.de/smd-vielschicht-0805-2-2-pf-cog--0-25pf-50v-125-c-npo-g0805-2-2p-p13515.html?&trstct=pol_2&nbc=1","2p2"
C82 C81 C83 C85 C80 C84 C88 C89 ,8,"100n 50V","Capacitors_SMD:C_0805","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=B300%2FKEM_C0XXX_X7R_DB-EN.pdf","https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r0805-100n-p207073.html?&trstct=pol_1&nbc=1","KEM C0G0805 100P Vielschicht-Kerko, 100pF, 50V, 125°C"
C9 C7 C4 C8 C10 C30 C31 C3 C47 C18 C38 C32 C33 C26 C28 C34 C27 C40 C44 C37 ,20,"100n","Capacitors_SMD:C_1206_HandSoldering","","https://www.reichelt.de/vielschicht-kerko-100nf-50v-125-c-kem-x7r1206b100n-p207152.html?&trstct=pol_1&nbc=1","100n"
C90 C91 C93 C92 ,4,"220n 250V","Capacitors_SMD:C_1812","~","https://www.mouser.de/ProductDetail/KEMET/C1812C224KARACTU?qs=yb5u%2FZTDO8t0HeaPboTl3w%3D%3D",""
C94 ,1,"220p 50V","Capacitors_SMD:C_1206","","https://www.reichelt.de/smd-vielschicht-keramikkondensator-220p-5--npo-g1206-220p-p31890.html?&trstct=pol_2&nbc=1",""
D104 D105 ,2,"SK86","Diodes_SMD:D_SMC","https://cdn-reichelt.de/documents/datenblatt/A400/SK82-810_GER-ENG_TDS.pdf","https://www.reichelt.de/schottkydiode-60-v-8-a-do-214ab-sk-86-dio-p216773.html?&trstct=pol_3&nbc=1",""
D25 D26 D27 D28 D30 D31 D32 D19 D21 D22 D23 D24 D40 D41 D39 D38 D29 D17 D18 D20 ,20,"APTD3216","LEDs:LED_1206_HandSoldering","https://www.mouser.de/ProductDetail/Kingbright/APTD3216LSURCK?qs=AQlKX63v8RsLPrrQ1%252BPtxg%3D%3D","https://www.mouser.de/ProductDetail/Kingbright/APTD3216LSURCK?qs=AQlKX63v8RsLPrrQ1%252BPtxg==","APTD3216LSURCK (2mA, 100mcd, 30mA max, If/Uf 5mA/1,8V)"
D33 ,1,"1N4448W7F DII","Diodes_SMD:D_SOD-123","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=A400%2F1N4448W_ENG_TDS.pdf","https://www.reichelt.de/gleichrichterdiode-75-v-0-5-a-sod-123-1n-4448w7f-dii-p219387.html?search=1N4448","1N 4448W7F DII Gleichrichterdiode, 75 V, 0,5 A, SOD-123,  UF=0,63V !"
D34 D35 D36 ,3,"SZNUP2105LT1G","mylib:SOT-23","https://www.mouser.de/datasheet/2/308/1/NUP2105L_D-2319421.pdf","https://www.mouser.de/ProductDetail/onsemi/SZNUP2105LT1G?qs=PJJcWtbOkNWqqZbXH80dfQ%3D%3D",""
D42 D43 ,2,"P6SMB 5,0CA","mylib:DO-214AA_man","","https://www.reichelt.de/tvs-diode-bidirectional-5-v-600-w-do-214aa-smb-p6smb-5-0ca-smd-p204337.html?&trstct=pos_0&nbc=1","P6SMB 5,0CA"
D47 D44 D46 D45 ,4,"BAT 46","Diodes_THT:D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp","~","https://www.reichelt.de/kleinsignal-schottky-diode-100-v-150-ma-do-35-bat-46-p4853.html?search=BAT+46","BAT 46"
D48 ,1,"MBRS 1100 SMD","mylib:DO-214AA_Schottky_man","https://www.reichelt.de/schottkydiode-100-v-1-a-do-214aa-mbrs-1100-smd-p41974.html?&trstct=pos_8&nbc=1","https://www.reichelt.de/schottkydiode-100-v-1-a-do-214aa-mbrs-1100-smd-p41974.html?&trstct=pos_8&nbc=1","MBRS 1100 SMD"
D50 ,1,"BZX84C-3V6","Diodes_SMD:D_SOT-23_ANK","https://cdn-reichelt.de/documents/datenblatt/A900/SMD%20ZD_Serie%23fair.pdf"
D51 ,1,"1.5KE30CA","Diodes_THT:D_DO-201_P12.70mm_Horizontal","","https://www.reichelt.de/tvs-diode-bidirektional-30-v-1500-w-do-201-1-5ke30ca-tsc-p278107.html?&trstct=pos_0&nbc=1","1.5KE30CA"
D53 ,1,"1N4007 SMD","mylib:Diode_DO213AB-MELF_SOD123","http://www.vishay.com/docs/88503/1n4001.pdf","https://www.reichelt.de/gleichrichterdiode-1000-v-1-a-do-41-1n-4007-p1729.html?search=1N4007","1N4007 SMD MELF , alternativ 1N4448 SMD SOT-123"
D56 D54 D55 D57 D58 D59 D60 D61 D63 D64 D65 D66 D67 D68 D69 D62 ,16,"KPTD-3216","mylib:D_1206_4.5","https://cdn-reichelt.de/documents/datenblatt/A500/SMD-LED1206K-RT%23KIN.pdf","https://www.reichelt.de/led-smd-3216-1206-rot-600-mcd-50--smd-led-1206k-rt-p54085.html?&nbc=1","KPTD-3216SURC Hyper Red (20mA, 600mcd, 30mA max, If/Uf 5mA/1,8V)"
D87 D86 D85 D84 D83 D82 D81 D80 D70 D79 D74 D75 D73 D76 D77 D72 D71 D78 ,18,"P6KE33CA","Diodes_THT:D_DO-15_P5.08mm_Vertical_KathodeUp","","https://www.reichelt.de/tvs-diode-bidirectional-33-v-600-w-do-204ac-do-15-p6ke-33ca-p42020.html?search=P6KE+33CA","P6KE33CA"
